Wall time,Step,Value
1510918968.4980996,6,0.15465973317623138
1510918979.3958535,16,0.13752225041389465
1510918982.6010368,19,0.13281723856925964
1510918989.1069221,25,0.12670129537582397
1510919002.2081997,37,0.11572621762752533
1510919006.536447,41,0.1134931892156601
1510919008.7205176,43,0.1123245358467102
1510919010.851642,45,0.11111438274383545
1510919011.9467573,46,0.11077167838811874
1510919014.1028283,48,0.10872938483953476
1510919020.6925912,54,0.10934793949127197
1510919021.7996485,55,0.10904112458229065
1510919022.890764,56,0.10844544321298599
1510919023.985774,57,0.10897783935070038
1510919033.7493331,66,0.10773728042840958
1510919040.293016,72,0.10786661505699158
1510919041.383082,73,0.10740417242050171
1510919042.4761395,74,0.10633203387260437
1510919043.562204,75,0.10615359991788864
1510919048.9895844,80,0.10651218146085739
1510919057.6780696,88,0.1051836609840393
1510919065.3024755,95,0.10613415390253067
1510919074.0260286,103,0.10618448257446289
1510919077.2312164,106,0.10544493794441223
1510919078.3132224,107,0.10406558215618134
1510919085.9226582,114,0.10473982244729996
1510919091.3760195,119,0.10291124880313873
1510919100.114966,127,0.10298041999340057
1510919103.337095,130,0.10336166620254517
1510919104.4282093,131,0.10376827418804169
1510919114.2613614,140,0.10184453427791595
1510919116.443488,142,0.10031609982252121
1510919117.522641,143,0.10230602324008942
1510919126.2482162,151,0.10265887528657913
1510919131.6795268,156,0.10043893754482269
1510919133.8764226,158,0.09964300692081451
1510919134.9554863,159,0.1007915511727333
1510919139.3127337,163,0.10031037032604218
1510919144.7204337,168,0.0992782711982727
1510919145.788495,169,0.09933021664619446
1510919149.0492883,172,0.09912534058094025
1510919155.6086683,178,0.10276204347610474
1510919156.7028027,179,0.10075786709785461
1510919158.8799818,181,0.09935203194618225
1510919162.1321208,184,0.10029365867376328
1510919164.3222392,186,0.09925385564565659
1510919165.3923004,187,0.09963042289018631
1510919169.7105477,191,0.09884367883205414
1510919170.805446,192,0.09891550242900848
1510919178.4274158,199,0.09808531403541565
1510919187.1815348,207,0.09742619097232819
1510919188.2525961,208,0.09747467190027237
1510919189.3157072,209,0.09575697779655457
1510919193.6805873,213,0.09605394303798676
1510919205.8057806,224,0.0969470664858818
1510919212.3025131,230,0.09535854309797287
1510919215.6066437,233,0.09496688842773438
1510919217.7997692,235,0.09499196708202362
1510919221.071962,238,0.0955769494175911
1510919234.140187,250,0.09412401914596558
1510919240.6802897,256,0.09419156610965729
1510919246.177138,261,0.09345995634794235
1510919247.2561991,262,0.09412556886672974
1510919249.4613798,264,0.09424302726984024
1510919253.8489943,268,0.09258879721164703
1510919258.2272985,272,0.09180006384849548
1510919260.4003694,274,0.09318773448467255
1510919265.873682,279,0.09176962822675705
1510919281.09588,293,0.09049826860427856
1510919286.5211384,298,0.08904361724853516
1510919287.604199,299,0.08772056549787521
1510919291.9565055,303,0.08637084066867828
1510919293.0510843,304,0.0863901823759079
1510919297.4004612,308,0.08388476073741913
1510919298.5065784,309,0.0827053114771843
1510919300.687133,311,0.08069242537021637
1510919304.0200276,314,0.08038043230772018
1510919309.4092822,319,0.07907663285732269
1510919310.4993467,320,0.07627904415130615
1510919317.0397203,326,0.07456965744495392
1510919318.1238382,327,0.07499520480632782
1510919319.2179003,328,0.07310781627893448
1510919322.5331287,331,0.07025566697120667
1510919332.3635614,340,0.06155224144458771
1510919341.1002195,348,0.05219627171754837
1510919358.5024884,364,0.04312727227807045
1510919362.8817663,368,0.04432398080825806
1510919369.4241405,374,0.041169919073581696
1510919373.793848,378,0.04073129594326019
